ID,NAME,HEALTH,DAMAGE,RANGE,SPEED,LOS
85,abrams,9,9,1,3,8
86,abran,5,10,1,5,2
87,abrar,4,8,1,5,5
88,absi,6,3,3,8,7
89,abu,7,2,3,7,10
90,abul,6,6,3,3,6
91,access,1,8,1,5,5
92,accounti,4,10,1,7,7
93,acelvari,2,1,2,8,3
94,achal,10,4,2,7,7
95,achamma,6,6,1,2,6
96,acharyya,8,7,3,5,2
97,achcar,1,4,2,1,5
98,achille,7,2,2,10,1
99,achkar,9,8,1,9,4
100,achmad,3,6,2,3,7
101,ackaouy,3,5,1,7,5
102,acker,10,1,2,4,3
103,acklin,6,5,2,8,10
104,acree,6,5,3,5,1
105,acres,5,5,2,3,6
106,acs,4,1,3,7,8
107,action,2,7,3,4,8
108,actionte,4,1,3,8,10
109,acton,6,8,2,6,7
110,ad,10,5,2,3,3
111,adahm,2,1,1,1,6
112,adair,7,8,3,6,6
113,adal,9,1,3,7,7
114,adaline,9,8,2,1,1
115,adam,8,10,3,5,3
116,adamczyk,4,5,2,2,1
117,adamkows,7,3,1,5,3
118,adamo,10,8,1,10,2
119,adams,4,4,2,2,4
120,adamski,4,6,2,7,5
121,adamson,2,6,2,3,4
122,adamyk,8,2,3,9,6
123,adan,10,7,2,5,4
124,adara,7,3,2,1,9
125,adcox,5,1,1,1,2
126,adda,3,1,3,1,1
127,addetia,2,2,2,6,9
128,addi,3,7,3,9,4
129,addia,8,6,2,3,1
130,addona,4,8,1,4,1
131,addons,1,2,1,6,8
132,addy,8,10,2,5,2
133,ade,2,5,1,3,1
134,adebayo,7,4,3,7,3
135,adela,10,10,3,7,1
136,adelaida,9,6,1,9,4
137,adelaide,2,6,2,1,5
138,adelbert,3,5,1,6,7
139,adele,7,10,1,7,4
140,adelheid,9,6,3,2,3
141,adelia,9,2,3,4,6
142,adelice,5,7,1,4,9
143,adelina,3,10,1,3,7
144,adelind,1,4,2,9,3
145,adeline,9,9,3,3,6
146,adella,8,3,3,1,6
147,adelle,9,6,2,4,8
148,adena,6,1,2,5,3
149,adeney,3,10,3,2,8
150,adeniyi,7,4,2,1,8
151,aderhold,4,5,2,3,6
152,adey,1,7,3,2,10
153,adham,2,9,2,10,3
154,adhem,6,4,3,8,8
155,adib,10,10,2,6,2
156,adie,8,9,3,2,8
157,adil,10,2,2,3,1
158,adimari,2,3,3,7,1
159,aditya,1,4,2,2,4
160,adjangba,8,6,1,1,4
161,adkinson,9,4,2,2,8
162,adlai,6,6,2,2,10
163,adler,6,5,2,6,5
164,adlin,5,2,3,8,3
165,admad,6,7,1,8,2
166,admin,6,3,2,2,4
167,admin-mt,6,2,1,7,8
168,administ,1,8,3,7,1
169,adnan,5,3,1,4,9
170,adnane,1,9,3,4,5
171,ado,4,1,2,10,7
172,adolf,4,4,1,7,8
173,adolfie,7,5,2,10,4
174,adolph,9,2,2,4,10
175,adolphe,3,3,2,6,1
176,adolpho,2,5,1,4,1
177,adolphus,2,6,2,4,8
178,adora,7,2,2,6,6
179,adore,6,10,2,3,8
180,adoree,3,6,3,6,9
181,adorne,9,3,2,1,8
182,adrea,1,3,1,3,7
183,adri,7,9,1,4,6
184,adria,4,1,1,5,7
185,adriaan,8,1,2,1,4
186,adriaans,9,2,3,7,2
187,adriaens,10,3,1,1,10
188,adrian,6,6,3,4,3
189,adriana,4,1,2,10,3
190,adriane,6,10,2,4,5
191,adrianna,8,6,1,3,1
192,adriano,5,5,2,1,9
193,adrie,9,1,2,6,7
194,adriena,6,8,3,3,5
195,adriene,8,1,2,3,10
196,adrion,6,6,3,4,4
197,advance,2,5,3,5,10
198,aeinstei,5,9,3,1,6
199,aeriel,1,1,3,5,8
200,aeriela,6,2,3,9,1
201,aeriell,1,4,2,9,1
202,afaq,7,10,2,5,6
203,afif,2,2,3,5,8
204,afke,4,7,2,1,10
205,afkham,6,3,3,5,3
206,afkham-e,2,3,2,8,1
207,afo,3,7,1,2,3
208,afton,8,4,2,1,9
209,afzal,8,2,1,9,4
210,ag,10,1,3,7,2
211,agace,8,1,3,10,9
212,agam,1,2,2,10,9
213,agarwal,10,1,2,9,9
214,agata,2,3,3,3,9
215,agatha,7,3,3,4,5
216,agathe,7,6,1,3,8
217,agen,2,1,3,9,4
218,agenia,3,6,3,10,3
219,aggi,3,5,2,6,4
220,aggie,1,9,3,9,1
221,aggy,3,2,1,9,8
222,aghi,6,8,1,8,4
223,aghili,9,6,1,3,3
224,agily,1,3,1,9,4
225,agna,4,3,2,5,5
226,agnar,10,2,1,1,8
227,agnella,6,6,3,3,5
228,agnes,1,7,3,10,3
229,agnese,7,4,1,6,3
230,agnesse,7,2,1,7,10
231,agneta,5,7,3,10,3
232,agnew,3,5,3,9,5
233,agnihotr,7,9,2,1,8
234,agnola,2,2,3,1,5
235,agostino,7,8,3,3,9
236,agosto,6,4,1,3,9
237,agretha,9,4,3,4,1
238,aguiar,5,10,1,8,3
239,aguie,8,5,1,3,7
240,aguilar,2,8,2,10,3
241,aguinsky,1,6,1,9,4
242,aguirre,6,5,1,6,6
243,aguistin,6,8,3,4,7
244,aguste,6,2,2,5,10
245,agustin,7,4,2,2,1
246,ahad,5,10,2,8,3
247,aharon,8,3,1,1,8
248,ahbeng,9,9,1,3,2
249,ahdieh,8,5,3,9,5
250,ahlberg,7,10,3,2,7
251,ahlers,5,1,3,10,6
252,ahmad,1,1,2,4,6
253,ahmadi,9,5,1,8,1
254,ahmet,10,3,1,9,4
255,ai-mei,7,4,1,4,4
256,aida,3,5,3,3,9
257,aidan,4,4,3,7,2
258,aidarous,4,6,1,7,10
259,aideen,10,10,1,4,4
260,aiden,8,2,2,8,3
261,aigneis,2,5,3,10,3
262,aihua,8,4,1,5,9
263,aila,9,7,3,9,2
264,aile,2,9,1,8,7
265,ailee,1,6,1,1,9
266,aileen,6,5,1,7,1
267,ailene,10,7,3,1,9
268,ailey,4,9,1,3,3
269,aili,1,4,3,2,7
270,ailis,5,4,3,10,1
271,ailsun,2,4,1,3,9
272,ailyn,1,1,1,2,8
273,aiman,4,8,2,4,1
274,aime,10,9,1,4,7
275,aimee,2,3,2,3,7
276,aimei,5,10,1,8,4
277,aimil,3,9,3,5,7
278,aimone,9,9,1,6,4
279,aindrea,8,7,3,6,1
280,ainslee,3,4,1,3,5
281,ainsley,6,5,3,5,2
282,ainslie,6,2,3,10,3
283,ainswort,8,8,3,1,4
284,air,3,5,2,3,4
285,aisha,3,5,2,10,9
286,aitken,8,2,1,1,10
287,aitsung,7,9,1,5,9
288,ajay,10,1,1,5,6
289,ajersch,3,5,2,2,3
290,ajeya,3,9,2,6,7
291,ajit,4,7,1,10,2
292,ajmal,2,6,3,9,6
293,ajoy,3,5,3,4,2
294,akai,2,1,1,1,1
295,akbar,8,4,1,6,9
296,akbas,1,8,2,7,7
297,akemi,1,10,1,5,2
298,akens,2,2,1,5,9
299,akers,2,9,1,8,3
300,akhavan,5,1,3,5,7
301,akhil,5,8,2,1,5
302,akhtar,4,4,2,5,1
303,akim,5,6,2,7,5
304,akin,2,4,3,4,6
305,akinniyi,1,1,2,9,10
306,akio,5,1,1,5,1
307,akira,2,8,1,8,8
308,akita,1,1,3,1,5
309,akkerman,3,1,2,8,4
310,akram,5,1,3,5,9
311,akrawi,10,10,2,2,3
312,aksel,1,6,2,10,6
313,akshay,9,3,2,9,5
314,akyurekl,6,5,1,7,2
315,al,6,5,3,9,8
316,al,9,6,1,5,2
317,bud,6,10,3,1,3
318,al-basi,6,5,1,6,10
319,al-tarab,1,6,3,3,10
320,aladanga,6,10,3,4,5
321,aladin,6,9,2,3,8
322,alain,7,1,3,1,3
323,alaine,6,10,1,4,7
324,alair,6,3,3,10,4
325,alameda,1,6,2,5,2
326,alan,3,3,3,2,8
327,alana,8,3,2,7,7
328,aland,5,9,1,1,8
329,alanis,1,9,3,8,3
330,alanna,5,3,1,3,3
331,alano,5,3,3,9,6
332,alanoly,6,3,3,5,5
333,alanson,7,8,3,6,5
334,alanturi,4,2,2,3,8
335,alaric,6,1,1,9,6
336,alary,1,9,3,2,9
337,alasdair,5,9,1,6,5
338,alasteir,6,8,2,8,4
339,alaster,1,7,2,4,5
340,alavi,10,5,1,10,2
341,alayne,3,7,1,6,10
342,alb,3,2,2,7,8
343,alba,2,6,2,8,3
344,albea,1,6,1,9,10
345,albeon,6,9,1,6,1
346,alber,6,8,1,2,9
347,alberik,1,2,3,2,5
348,albers,4,1,3,10,9
349,alberse,8,9,3,4,7
350,albert,3,2,1,2,4
351,alberta,2,2,2,1,4
352,albertei,7,8,1,1,6
353,albertin,4,6,1,3,2
354,alberto,5,1,2,2,8
355,alberts,8,3,2,4,7
356,alberty,9,3,1,8,6
357,albery,2,1,3,10,9
358,albie,3,6,1,2,5
359,albina,5,2,3,8,7
360,albiston,4,8,1,7,1
361,albrecht,1,3,3,5,9
362,albritto,4,6,2,3,1
363,albtenta,5,8,1,7,9
364,alburger,10,4,1,9,5
365,alcantar,10,5,2,6,4
366,alcindor,8,6,3,1,7
367,alcock,8,8,3,4,8
368,alcott,1,4,2,7,6
369,alden,6,4,2,6,5
370,alderdic,4,6,1,3,9
371,aldhizer,4,4,2,8,10
372,aldin,6,3,2,4,3
373,aldis,4,5,1,1,6
374,aldon,1,4,3,10,5
375,aldous,9,6,3,10,1
376,aldric,10,3,1,4,5
377,aldridge,8,3,1,5,9
378,aldus,6,2,1,9,1
379,alec,6,5,3,9,1
380,alecia,5,8,1,3,1
381,aleda,9,6,3,9,4
382,aleece,1,2,1,4,7
383,aleen,7,10,3,4,7
384,alegre,4,6,3,10,1
385,aleinste,4,7,3,5,4
386,alejandr,4,1,2,1,8
387,alejoa,2,9,1,4,10
388,aleke,3,9,2,8,10
389,aleksic,5,9,1,5,1
390,alena,4,1,3,10,1
391,alene,9,6,2,2,3
392,aleong,6,5,2,7,8
393,alese,1,1,3,8,9
394,alessand,8,1,2,8,4
395,aleta,5,5,2,7,9
396,alethea,1,9,2,3,2
397,alexa,2,9,2,7,6
398,alexan,5,4,2,10,6
399,alexande,5,9,2,3,5
400,alexandr,1,3,1,1,3
401,alexei,1,1,1,1,5
402,alexi,2,4,3,1,1
403,alexia,9,4,2,3,9
404,alexina,4,7,1,4,6
405,alexine,3,3,2,8,6
406,alexio,9,7,2,4,5
407,alexon,7,4,1,3,7
408,alexson,7,4,3,1,9
409,alf,4,10,1,9,1
410,alfaro,9,6,1,7,1
411,alfi,3,4,2,1,3
412,alfie,2,10,3,7,7
413,alfons,8,6,2,8,6
414,alfonse,10,3,3,4,4
415,alfonso,7,1,3,6,5
416,alford,10,2,2,3,2
417,alfred,10,3,2,9,7
418,alfreda,7,5,3,8,1
419,alfredo,6,3,1,6,8
420,alfy,10,7,2,10,1
421,algernon,7,2,1,8,7
422,algie,7,1,2,1,3
423,algimant,9,6,3,3,3
424,algood,2,5,1,8,4
425,alguire,9,1,2,10,7
426,ali,9,3,2,10,3
427,alia,8,6,3,3,8
428,alic,7,2,2,4,8
429,alice,9,10,3,1,1
430,alicea,7,3,3,9,9
431,alicia,9,1,2,2,7
432,alick,10,7,3,10,1
433,alida,2,4,1,1,4
434,alidia,2,6,1,4,1
435,alidina,4,4,1,7,10
436,alie,5,2,1,9,1
437,alikee,10,2,3,2,6
438,alikhan,6,10,1,3,3
439,alina,3,4,1,10,9
440,aline,5,4,1,3,7
441,alink,2,4,2,5,2
442,alioto,5,1,2,8,3
443,alireza,5,3,2,8,7
444,alis,5,3,1,7,2
445,alisa,2,4,2,6,5
446,alisande,10,9,1,1,2
447,alisha,4,4,3,8,2
448,alistair,7,6,1,10,3
449,alister,4,2,1,4,2
450,alisun,5,3,2,7,4
451,alix,2,4,1,5,10
452,aliza,9,6,3,7,5
453,alkarim,5,4,1,4,10
454,alkire,1,5,1,9,4
455,all,5,4,2,5,2
456,the,4,10,2,4,3
457,alla,7,3,1,10,1
458,allahdin,2,1,3,3,6
459,allahyar,6,6,1,10,6
460,allam,4,6,1,4,2
461,allaman,2,8,2,8,8
462,allan,10,7,3,3,4
463,allaway,5,1,2,3,7
464,allaye-c,4,9,2,4,3
465,allayne,9,9,3,8,1
466,alleen,5,7,1,6,9
467,allegra,5,1,3,6,1
468,allene,1,1,1,2,4
469,alles,3,3,1,2,10
470,alleva,10,10,2,1,9
471,alley,9,4,1,7,3
472,alleyn,4,2,3,5,10
473,alleyne,7,6,3,5,6
474,allgood,3,2,2,10,10
475,alli,6,4,3,1,9
476,allianor,9,3,1,5,1
477,allida,8,8,2,1,7
478,allie,3,9,2,6,6
479,allin,9,2,1,3,7
480,allina,8,2,2,1,5
481,allis,5,9,3,9,2
482,allisan,8,2,1,2,4
483,allison,2,3,1,10,7
484,allissa,3,2,2,5,3
485,allister,7,2,1,10,4
486,allistir,9,3,2,2,8
487,allix,1,3,3,4,7
488,allman,4,7,3,4,3
489,allsun,6,1,2,2,1
490,allwork,6,6,1,2,5
491,allx,1,2,3,6,8
492,ally,2,2,2,3,1
493,allyce,10,3,3,4,4
494,allyn,6,6,2,1,7
495,allys,2,1,2,10,2
496,alma,8,5,2,4,1
497,almeda,3,9,3,8,8
498,almena,10,4,2,2,6
499,almeria,6,6,1,8,10
500,almerind,8,5,1,6,5
501,almeta,5,6,1,10,1
502,almira,3,1,1,10,8
503,almire,3,6,1,6,10
504,almon,5,9,1,8,3
505,alms,9,6,1,3,7
506,alnoor,1,7,3,1,2
507,aloi,5,1,3,4,9
508,aloin,6,5,3,3,6
509,aloise,6,10,2,6,3
510,alok,7,5,2,5,6
511,alon,2,4,1,9,6
512,alonso,1,1,2,4,8
513,alonzo,7,5,1,5,3
514,alora,3,8,3,2,2
515,aloysia,6,9,2,6,8
516,aloysius,9,10,3,2,5
517,alp,6,5,3,5,7
518,alparsla,3,10,3,4,2
519,alperovi,6,7,2,3,5
520,alphen,10,7,2,4,7
521,alphonso,1,2,2,10,10
522,alred,3,8,1,2,4
523,alric,8,1,3,8,9
524,alsaleh,4,5,1,9,8
525,alshabou,5,3,1,9,9
526,alsop,3,1,1,2,2
527,alspaugh,6,5,2,4,2
528,alstine,2,1,2,5,9
529,alston,3,10,2,9,2
530,alswiti,8,6,2,6,7
531,alta,7,5,1,6,9
532,altadonn,2,2,3,7,6
533,altay,8,5,3,5,3
534,altekar,8,4,2,1,5
535,alten,2,4,2,8,6
536,alternat,3,3,2,9,7
537,althea,7,9,1,4,2
538,altherr,3,5,2,8,5
539,alting-m,7,7,2,2,4
540,altman,8,3,1,2,2
541,altmann,8,2,2,7,10
542,alturing,7,7,1,7,1
543,aluin,6,10,2,3,10
544,alva,4,3,2,10,2
545,alvan,2,1,2,4,7
546,alvarez,1,4,2,3,7
547,alvaro,1,1,2,6,8
548,alvean,7,4,3,7,9
549,alvera,4,8,3,6,9
550,alverta,6,1,3,10,9
551,alvi,6,3,2,2,9
552,alvie,5,10,3,4,10
553,alvin,2,7,3,2,8
554,alvina,4,8,1,9,2
555,alvinia,4,7,1,6,7
556,alvino,8,7,1,3,3
557,alvira,7,5,2,7,4
558,alvis,4,10,2,8,5
559,alwin,10,4,2,4,5
560,aly,7,4,1,3,6
561,alyce,6,6,2,4,8
562,alyda,10,1,1,8,9
563,alyosha,6,9,1,5,6
564,alyre,6,6,3,7,8
565,alys,2,2,2,1,7
566,alysa,3,4,2,1,9
567,alyse,6,4,1,6,4
568,alysia,3,6,1,9,5
569,alyson,3,4,1,8,8
570,alyss,9,2,1,9,1
571,alzofon,7,10,2,5,6
572,amabel,1,7,1,10,1
573,amabelle,5,7,1,1,1
574,amadeus,10,5,1,4,6
575,amalea,2,5,3,1,7
576,amalee,3,1,1,4,10
577,amaleta,6,6,1,6,4
578,amalia,6,5,3,9,5
579,amalie,9,1,2,1,10
580,amalita,6,4,1,8,3
581,amalle,3,6,3,3,3
582,amand,7,1,1,10,5
583,amanda,3,9,1,5,4
584,amandi,7,5,2,4,6
585,amandie,2,1,3,7,6
586,amandip,5,1,1,7,2
587,amando,3,7,1,6,5
588,amandy,3,3,3,10,9
589,amant,10,7,3,2,6
590,amar,10,6,1,7,5
591,amara,5,10,3,6,1
592,amarendr,6,4,2,9,8
593,amargo,7,6,3,8,2
594,amarjit,7,7,3,9,1
595,amarsi,10,2,1,9,1
596,amarth,8,1,1,7,7
597,amato,3,10,3,5,2
598,amavisca,2,3,2,4,4
599,ambach,5,1,3,7,10
600,amber,1,9,2,3,9
601,amberly,4,6,1,10,2
602,amble,6,3,2,3,8
603,ambler,3,4,3,7,2
604,ambroise,4,2,1,9,3
605,ambros,9,1,1,9,10
606,ambrose,4,3,1,3,4
607,ambrosi,5,3,2,10,6
608,ambrosio,6,2,2,1,9
609,ambrosiu,3,3,2,9,4
610,ambur,7,2,3,10,3
611,amby,6,8,1,8,6
612,amda,8,10,3,8,2
613,ame,6,3,1,5,4
614,ameen,7,4,3,9,2
615,amelia,3,3,1,9,9
616,amelina,8,2,3,9,7
617,ameline,10,8,2,1,1
618,amelita,10,1,3,7,7
619,amelkar,7,3,3,9,1
620,amenta,5,10,1,7,5
621,america,9,3,3,3,8
622,amerigo,2,10,3,2,2
623,amery,1,4,3,6,5
624,amgad,6,3,1,10,10
625,ami,4,1,3,2,5
626,amick,4,7,2,8,5
627,amie,7,6,3,2,4
628,amigo,3,9,1,5,4
629,amil,1,1,3,4,3
630,amin,10,3,2,1,9
631,amina,1,1,3,3,5
632,amini,2,6,2,4,3
633,aminuddi,10,5,2,9,4
634,amiot,9,2,2,9,9
635,amir,7,4,2,2,6
636,amit,4,10,1,4,6
637,amitabh,8,7,1,3,3
638,amitava,6,10,1,6,2
639,amitie,3,4,1,7,2
640,amity,8,7,1,6,6
641,amiy,10,3,1,9,3
642,amjad,7,6,1,10,7
643,amlani,9,9,3,2,6
644,ammar,3,7,2,10,7
645,ammiel,5,3,3,3,4
646,amnish,4,9,3,4,4
647,amnon,4,7,3,8,4
648,amol,9,1,3,2,5
649,amorim,7,3,1,5,7
650,amory,8,8,1,1,9
651,amos,7,2,1,10,1
652,amott,6,9,1,6,5
653,amour,6,1,1,1,5
654,amouzgar,9,6,2,4,7
655,amparo,9,6,2,10,1
656,amrik,4,8,1,9,7
657,amril,3,4,3,3,1
658,amstutz,4,8,2,3,2
659,amu,9,2,3,9,1
660,amundsen,4,8,1,10,2
661,amy,10,9,1,2,9
662,amye,1,10,3,1,5
663,an,1,8,2,9,9
664,an-bin,6,5,3,1,8
665,ana,7,8,2,4,2
666,anabal,6,1,3,4,7
667,anabel,3,5,2,2,9
668,anabella,4,4,1,1,8
669,anabelle,7,7,3,6,5
670,anader,8,5,2,1,3
671,analiese,1,3,1,1,9
672,analise,7,5,2,9,2
673,anallese,4,3,2,10,5
674,anallise,3,8,3,6,2
675,anamary,1,1,2,8,4
676,anand,1,6,1,1,10
677,ananda,6,2,2,10,4
678,anandaro,7,4,2,2,6
679,ananmala,10,4,1,2,5
680,anant,8,6,2,5,3
681,ananth,10,10,1,4,4
682,anantha,5,3,2,3,3
683,ananyo,2,3,2,9,5
684,anar,4,6,3,7,10
685,anastasi,5,9,2,2,1
686,anastass,3,2,2,5,5
687,anatol,6,1,2,5,7
688,anatola,1,9,3,7,3
689,anatole,3,4,2,10,5
690,anatoli,6,4,2,4,4
691,anatollo,3,4,3,1,3
692,anatoly,5,3,3,4,5
693,anaya,9,6,3,4,8
694,anbin,6,4,3,6,6
695,ancel,7,5,1,3,9
696,ancell,1,2,2,8,7
697,anchia,7,6,3,1,4
698,anconeta,9,8,1,8,3
699,anctil,3,3,1,5,4
700,anda,2,5,2,3,8
701,andaree,9,2,3,4,6
702,andeee,8,3,2,4,4
703,ander,9,4,1,9,5
704,anderea,9,10,1,1,8
705,anderer,3,1,2,7,8
706,anders,6,3,2,2,2
707,andersen,6,6,2,2,2
708,anderson,4,9,2,6,8
709,anderton,3,3,3,8,5
710,andi,5,2,3,6,9
711,andie,4,4,1,6,2
712,andiyono,2,3,3,10,4
713,andrade,2,3,2,4,7
714,andras,2,9,1,10,1
715,andrassy,6,5,2,6,4
716,andre,9,3,1,1,1
717,andrea,5,8,3,3,5
718,andreana,5,3,1,9,3
719,andreas,10,2,1,8,2
720,andreato,1,4,3,7,4
721,andrei,5,2,1,9,2
722,andrej,5,10,3,1,3
723,andrejs,4,2,3,5,4
724,andres,1,8,1,7,3
725,andress,7,3,3,6,2
726,andrew,8,5,2,4,7
727,andrews,1,6,2,10,2
728,andrey,6,4,2,2,4
729,andria,10,3,2,6,3
730,andriana,5,8,1,3,6
731,andric,6,9,2,10,1
732,andris,1,6,2,6,8
733,andromac,8,7,2,1,7
734,andros,10,2,1,2,6
735,andrukat,1,1,1,7,7
736,andrus,9,9,2,4,4
737,andrusia,5,5,1,8,5
738,andruzzi,1,7,1,6,9
739,andrzej,1,10,3,8,5
740,andy,6,5,1,1,10
741,aneeta,8,6,1,6,1
742,aneko,5,7,1,2,2
743,anestass,7,8,2,6,8
744,anet,3,10,2,3,7
745,anett,2,1,3,8,2
746,anetta,1,7,3,8,10
747,anette,9,2,2,6,7
748,ange,2,4,3,5,6
749,angel,1,2,3,3,3
750,angela,3,4,1,6,3
751,angelako,2,9,2,6,3
752,angele,6,4,2,4,6
753,angeles,9,8,2,7,3
754,angelia,10,2,2,5,5
755,angelica,4,3,3,2,8
756,angelico,8,7,3,3,5
757,angelie,9,7,3,4,6
758,angeliek,7,2,3,6,6
759,angelika,4,9,1,8,2
760,angeline,9,2,3,8,5
761,angeliqu,1,1,3,6,8
762,angell,2,2,1,7,4
763,angelle,10,5,3,3,6
764,angelo,3,4,3,9,1
765,angerer,1,10,3,1,9
766,angermey,4,6,3,8,5
767,angie,3,6,1,1,7
768,angil,6,7,2,4,6
769,anglin,2,6,3,7,1
770,angobald,8,2,3,8,3
771,angus,2,5,1,2,9
772,angustia,1,4,2,7,8
773,angvall,4,1,2,7,1
774,angy,1,6,2,5,8
775,anh,6,7,2,10,4
776,anhorn,1,2,3,9,7
777,anhtuan,4,7,2,5,7
778,ania,7,3,2,2,7
779,anibal,4,7,3,4,1
780,anica,7,1,3,1,7
781,anika,10,7,1,2,9
782,aniko,2,10,1,2,3
783,anil,5,7,2,2,4
784,anila,8,2,1,4,2
785,anindita,5,10,3,1,6
786,anissa,1,5,3,9,7
787,anita,6,5,3,7,7
788,anitra,3,7,1,10,1
789,aniya,7,4,3,5,8
790,anja,6,3,2,6,1
791,anjali,2,6,2,3,4
792,anjanett,10,10,3,6,3
793,anje,9,2,3,3,2
794,anjela,2,4,2,8,9
795,anjli,3,6,2,6,9
796,anke,2,7,1,5,8
797,anker,2,9,3,9,6
798,anki,1,8,2,2,6
799,ankie,5,10,3,7,3
800,anky,5,3,2,10,2
801,ann,2,7,3,3,4
802,ann-hoon,10,3,3,5,4
803,ann-lorr,10,3,2,6,5
804,ann-mari,6,10,2,1,10
805,anna,4,10,3,1,9
806,anna-dia,8,3,3,9,7
807,anna-mar,7,4,3,6,6
808,annabal,7,7,1,5,9
809,annabel,4,2,1,3,4
810,annabela,1,3,1,7,10
811,annable,9,7,1,4,5
812,annalea,7,2,2,3,7
813,annalee,10,9,3,3,7
814,annalies,1,10,3,4,7
815,annalisa,4,7,3,7,2
816,annalise,1,3,3,1,10
817,annamari,3,1,1,2,7
818,annamay,3,7,1,7,10
819,annarbor,7,1,2,7,9
820,annard,6,9,3,5,3
821,annas,4,8,2,1,9
822,anne,5,1,1,2,6
823,anne,7,10,3,2,8
824,mar,7,3,3,6,3
825,anne-cor,8,3,1,7,4
826,anne-lis,10,1,3,10,6
827,anne-mar,4,3,3,2,6
828,annecori,3,9,2,1,7
829,anneke,4,1,1,3,4
830,annelies,8,3,3,7,5
831,annelise,5,7,3,1,7
832,annemari,2,3,1,2,6
833,annemie,5,6,1,6,8
834,annet,10,8,2,8,2
835,annetta,4,3,2,10,8
836,annette,1,10,2,1,1
837,anni,1,6,3,2,6
838,annibale,1,5,3,9,2
839,annice,7,3,1,9,3
840,annick,2,9,1,1,8
841,annie,1,7,3,8,2
842,annika,3,4,3,6,9
843,annis,3,7,3,9,8
844,annise,3,2,3,10,1
845,annissa,4,3,1,10,6
846,annmaria,3,4,1,2,3
847,annmarie,3,9,2,2,8
848,annnora,2,5,3,4,2
849,annora,9,8,3,5,3
850,annunzia,5,9,1,7,4
851,anny,2,10,3,2,10
852,anoop,5,1,1,7,2
853,anoushir,1,6,2,10,2
854,ans,4,5,2,3,1
855,ansar,5,9,2,8,2
856,ansel,6,3,1,6,8
857,ansell,2,2,1,4,7
858,anselm,8,8,2,4,3
859,anselma,8,5,3,3,10
860,anshel,8,7,2,3,6
861,ansley,3,5,1,1,10
862,anson,8,2,1,2,6
863,ansorger,3,8,3,10,1
864,anstead,7,6,3,4,7
865,anstett,8,5,1,7,2
866,anstice,4,8,3,8,1
867,ansys,1,6,1,9,4
868,antai,5,7,1,5,3
869,antanas,1,2,3,9,2
870,antanina,7,2,3,6,1
